fromNode	toNode	weight	direction	fromAltName	toAltName
MMT00000159	MMT00037097	0.161774115147777	undirected	Cdc2a	Timeless
MMT00000159	MMT00039457	0.0748405500794634	undirected	Cdc2a	2600017H08Rik
MMT00000159	MMT00041229	0.103093996554135	undirected	Cdc2a	Mad2l1
MMT00000159	MMT00043004	0.211443896706365	undirected	Cdc2a	Asf1b
MMT00000159	MMT00044983	0.168775180043561	undirected	Cdc2a	NA
MMT00000159	MMT00046909	0.134434220976809	undirected	Cdc2a	5430413I02Rik
MMT00000159	MMT00047347	0.171000010681594	undirected	Cdc2a	Lig1
MMT00000159	MMT00047964	0.139364237779402	undirected	Cdc2a	Ect2
MMT00000159	MMT00048155	0.0648961262192033	undirected	Cdc2a	Slpi
MMT00000159	MMT00049429	0.185674237786703	undirected	Cdc2a	Uhrf1
MMT00000159	MMT00050107	0.13189855952506	undirected	Cdc2a	Trip13
MMT00000159	MMT00050815	0.139798724540779	undirected	Cdc2a	4632434I11Rik
MMT00000159	MMT00052629	0.189709962307056	undirected	Cdc2a	E130314M08Rik
MMT00000159	MMT00052695	0.0522134641791223	undirected	Cdc2a	Proz
MMT00000159	MMT00052927	0.267922766396056	undirected	Cdc2a	Shcbp1
MMT00000159	MMT00053241	0.0677050906408765	undirected	Cdc2a	Olig2
MMT00000159	MMT00054513	0.216114381517799	undirected	Cdc2a	D4Ertd421e
MMT00000159	MMT00055354	0.0936516304904862	undirected	Cdc2a	Pola1
MMT00000159	MMT00055454	0.21352192050377	undirected	Cdc2a	Stk6
MMT00000159	MMT00055541	0.198537156073516	undirected	Cdc2a	Rrm1
MMT00000159	MMT00055631	0.100600578302477	undirected	Cdc2a	H2afz
MMT00000159	MMT00055810	0.180418602436569	undirected	Cdc2a	BC004701
MMT00000159	MMT00056001	0.125737083450523	undirected	Cdc2a	Pole2
MMT00000159	MMT00058315	0.214730150848126	undirected	Cdc2a	Mphosph1
MMT00000159	MMT00058618	0.233312072495977	undirected	Cdc2a	Ccnb2
MMT00000159	MMT00058765	0.15512308482468	undirected	Cdc2a	Pole
MMT00000159	MMT00060309	0.166521048872552	undirected	Cdc2a	Chtf18
MMT00000159	MMT00061334	0.182188031556809	undirected	Cdc2a	Anln
MMT00000159	MMT00063382	0.138652908872944	undirected	Cdc2a	Mcm2
MMT00000159	MMT00064300	0.230519300201674	undirected	Cdc2a	Cenpe
MMT00000159	MMT00065854	0.218534848073976	undirected	Cdc2a	BC025462
MMT00000159	MMT00066001	0.240549415071592	undirected	Cdc2a	Cdca1
MMT00000159	MMT00066813	0.161486890410006	undirected	Cdc2a	Smc2l1
MMT00000159	MMT00068013	0.244416928546948	undirected	Cdc2a	Ccnb1
MMT00000159	MMT00068808	0.193162228506891	undirected	Cdc2a	Mcm6
MMT00000159	MMT00069111	0.225787859884393	undirected	Cdc2a	BC034753
MMT00000159	MMT00069686	0.241728616335004	undirected	Cdc2a	Mlr1
MMT00000159	MMT00069799	0.233519602214803	undirected	Cdc2a	Calmbp1
MMT00000159	MMT00070699	0.0593463991810819	undirected	Cdc2a	2310047C17Rik
MMT00000159	MMT00071357	0.158747584994453	undirected	Cdc2a	AW209059
MMT00000159	MMT00071378	0.129368924408978	undirected	Cdc2a	2610002D18Rik
MMT00000159	MMT00071845	0.0936288982065779	undirected	Cdc2a	Hmgb2
MMT00000159	MMT00072152	0.204870880580114	undirected	Cdc2a	Pbk
MMT00000159	MMT00072904	0.218163734426605	undirected	Cdc2a	2600005O03Rik
MMT00000159	MMT00072999	0.147274255986764	undirected	Cdc2a	Mcm4
MMT00000159	MMT00075200	0.201626681551026	undirected	Cdc2a	Atad2
MMT00000159	MMT00076421	0.230519552766735	undirected	Cdc2a	2310043D08Rik
MMT00000159	MMT00077765	0.15382228084352	undirected	Cdc2a	5730547N13Rik
MMT00000159	MMT00079309	0.181966660134495	undirected	Cdc2a	Exo1
MMT00000159	MMT00079343	0.211707645700798	undirected	Cdc2a	2310031L18Rik
MMT00000159	MMT00080541	0.154944827795789	undirected	Cdc2a	Ltb4dh
MMT00000159	MMT00082556	0.054327383408925	undirected	Cdc2a	Abcg5
MMT00000793	MMT00001154	0.0628600177325583	undirected	C330027C09Rik	2600001J17Rik
MMT00000793	MMT00001260	0.0670358338719371	undirected	C330027C09Rik	Sgol2
MMT00000793	MMT00005727	0.0574099459607726	undirected	C330027C09Rik	Fignl1
MMT00000793	MMT00005801	0.0588640484445289	undirected	C330027C09Rik	Cdc20
MMT00000793	MMT00009824	0.0599838439755219	undirected	C330027C09Rik	Kif11
MMT00000793	MMT00011464	0.0673552721036979	undirected	C330027C09Rik	Rad51
MMT00000793	MMT00019167	0.0614616275264099	undirected	C330027C09Rik	2610039C10Rik
MMT00000793	MMT00020107	0.060379003581353	undirected	C330027C09Rik	Cenph
MMT00000793	MMT00026450	0.0535947860236159	undirected	C330027C09Rik	Birc5
MMT00000793	MMT00026462	0.0694069563673394	undirected	C330027C09Rik	Mad2l1
MMT00000793	MMT00026734	0.0631169438701012	undirected	C330027C09Rik	Chek1
MMT00000793	MMT00027615	0.0652142519918439	undirected	C330027C09Rik	Tacc3
MMT00000793	MMT00030255	0.0571337972095207	undirected	C330027C09Rik	Ccna2
MMT00000793	MMT00030746	0.0589088518006172	undirected	C330027C09Rik	2700084L22Rik
MMT00000793	MMT00034605	0.056067427647504	undirected	C330027C09Rik	Hells
MMT00000793	MMT00036790	0.0662179330377778	undirected	C330027C09Rik	Racgap1
MMT00000793	MMT00043004	0.0566709589839481	undirected	C330027C09Rik	Asf1b
